Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200
Assay Started: ,,,,3/30/23 17:46,,,,,,,,,,,,,,,,,,,,,,,,
Assay Finished: ,,,,3/30/23 18:19,,,,,,,,,,,,,,,,,,,,,,,,
Assay Exported: ,,,,3/31/23 11:49,,,,,,,,,,,,,,,,,,,,,,,,
Protocol ID: ,,,,100135,,,,,,,,,,,,,,,,,,,,,,,,
Protocol Name: ,,,,Klein lab BTG,,,,,,,,,,,,,,,,,,,,,,,,
Serial#: ,,,,1051054,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol name,,,,Klein lab BTG,,,,,,,,,,,,,,,,,,,,,,,,
Number of assay repeats,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Start assay repeat each,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Number of plate repeats,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Start plate repeat each,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Is label meas. height used,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Height of measurement,,,,Defined in label,,,,,,,,,,,,,,,,,,,,,,,,
Is gripper height used,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
Mode of measurement,,,,By Rows  bi-directional,,,,,,,,,,,,,,,,,,,,,,,,
Rotated plate,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
Soft move,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
Protocol notes,,,, ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate type:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name of the plate type,,,,384 Nunc Maxisorp 460372,,,,,,,,,,,,,,,,,,,,,,,,
Number of rows,,,,16,,,,,,,,,,,,,,,,,,,,,,,,
Number of columns,,,,24,,,,,,,,,,,,,,,,,,,,,,,,
Number of the wells in the plate,,,,384,,,,,,,,,,,,,,,,,,,,,,,,
Height of the plate,,,,14.4 mm,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coordinates of corners:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384 Nunc Maxisorp 460372 + Jez US LUM 384 (cps),,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.88 mm x------------------------------------------------------ x 115.3 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.09 mm                                                            9.11 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.83 mm x------------------------------------------------------ x 115.43 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.51 mm                                                           76.32 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platemap:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Group,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH,,,,
B,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH,,,,
C,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH,,,,
D,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH,,,,
E,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH,,,,
F,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH,,,,
G,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH,,,,
H,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH,,,,
I,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH,,,,
J,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH,,,,
K,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH,,,,
L,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH,,,,
M,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH,,,,
N,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH,,,,
O,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH,,,,
P,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ZL - Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 - - Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ZH - Z_High,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculations:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
 Formula index,,,,Calc 1,,,,,,,,,,,,,,,,,,,,,,,,
 Formula name,,,,Z',,,,,,,,,,,,,,,,,,,,,,,,
 Formula,,,,1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto export parameters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export format,,,,Plate2,,,,,,,,,,,,,,,,,,,,,,,,
Include basic assay information,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Place assay information at,,,,End of file,,,,,,,,,,,,,,,,,,,,,,,,
Include basic plate information,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Place plate information at,,,,Beginning of plate,,,,,,,,,,,,,,,,,,,,,,,,
Include protocol information,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Protocol info level,,,,Large,,,,,,,,,,,,,,,,,,,,,,,,
Include error and warning information,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Include background information,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Add plate number to the file name,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Each plate to separate file,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
Field separator to use,,,,System,,,,,,,,,,,,,,,,,,,,,,,,
File name format,,,,<DefaultDataFolder>\<Date>\<ProtocolName>_<AssayID>.csv,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operations:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Label,,,,Jez US LUM 384 (cps)(1),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labels:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jez US LUM 384 (cps),,,,7000006,,,,,,,,,,,,,,,,,,,,,,,,
Measurement height,,,,0 mm,,,,,,,,,,,,,,,,,,,,,,,,
Measurement time,,,,0.1 s,,,,,,,,,,,,,,,,,,,,,,,,
CT,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Aperture,,,,384 Plate US Luminescence aperture,,,,,,,,,,,,,,,,,,,,,,,,
Last edited,,,,3/2/23 11:21,,,,,,,,,,,,,,,,,,,,,,,,
Last edited by,,,,EnVision,,,,,,,,,,,,,,,,,,,,,,,,
Factory preset,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aperture:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384 Plate US Luminescence aperture,,,,9,,,,,,,,,,,,,,,,,,,,,,,,
Height,,,,4.2 mm,,,,,,,,,,,,,,,,,,,,,,,,
Diameter,,,,3.7 mm,,,,,,,,,,,,,,,,,,,,,,,,
Description,,,,Can also be used in 96 plate,,,,,,,,,,,,,,,,,,,,,,,,
Last edited,,,,3/9/22 17:22,,,,,,,,,,,,,,,,,,,,,,,,
Last edited by,,,,Installation,,,,,,,,,,,,,,,,,,,,,,,,
Factory preset,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial number,,,,1051054,,,,,,,,,,,,,,,,,,,,,,,,
Nickname,,,,EnVision#Alpha_680nm,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalization:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay notifications:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARNING: Warning while loading plate. Stacker out of plates. Plate 20 Plate Repeat 1 Well P01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exported with EnVision Workstation version 1.14.3049.1193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
